GROUP,GROUPDesc,LQTYPE,LQTYPEDesc,freq,period,sv,svDesc,figure,sd_value
S5,Clothing and footwear,3,Private housing,Y,2009,HOUSE_EXPD,HK$,1138,
S6,Durable goods,,Total,Y,2009,HOUSE_EXPD,HK$,886,
S6,Durable goods,1,Public housing,Y,2009,HOUSE_EXPD,HK$,397,
S6,Durable goods,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,647,
S6,Durable goods,3,Private housing,Y,2009,HOUSE_EXPD,HK$,1250,
S7,Miscellaneous goods,,Total,Y,2009,HOUSE_EXPD,HK$,920,
S7,Miscellaneous goods,1,Public housing,Y,2009,HOUSE_EXPD,HK$,574,
S7,Miscellaneous goods,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,828,
S7,Miscellaneous goods,3,Private housing,Y,2009,HOUSE_EXPD,HK$,1148,
S8,Transport,,Total,Y,2009,HOUSE_EXPD,HK$,1792,
S8,Transport,1,Public housing,Y,2009,HOUSE_EXPD,HK$,897,
S8,Transport,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,1397,
S8,Transport,3,Private housing,Y,2009,HOUSE_EXPD,HK$,2442,
S9,Miscellaneous services,,Total,Y,2009,HOUSE_EXPD,HK$,3449,
S9,Miscellaneous services,1,Public housing,Y,2009,HOUSE_EXPD,HK$,1609,
S9,Miscellaneous services,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,2617,
S9,Miscellaneous services,3,Private housing,Y,2009,HOUSE_EXPD,HK$,4793,
S1,Food,,Total,Y,2014,HOUSE_EXPD,HK$,7554,
S1,Food,1,Public housing,Y,2014,HOUSE_EXPD,HK$,6159,
S1,Food,2,Subsidised housing,Y,2014,HOUSE_EXPD,HK$,7739,
S1,Food,3,Private housing,Y,2014,HOUSE_EXPD,HK$,8324,
S2,Housing,,Total,Y,2014,HOUSE_EXPD,HK$,9894,
S2,Housing,1,Public housing,Y,2014,HOUSE_EXPD,HK$,1608,
S2,Housing,2,Subsidised housing,Y,2014,HOUSE_EXPD,HK$,9806,
S2,Housing,3,Private housing,Y,2014,HOUSE_EXPD,HK$,14876,
S3,"Electricity, gas and water",,Total,Y,2014,HOUSE_EXPD,HK$,740,
S3,"Electricity, gas and water",1,Public housing,Y,2014,HOUSE_EXPD,HK$,645,
S3,"Electricity, gas and water",2,Subsidised housing,Y,2014,HOUSE_EXPD,HK$,749,
S3,"Electricity, gas and water",3,Private housing,Y,2014,HOUSE_EXPD,HK$,793,
S4,Alcoholic drinks and tobacco,,Total,Y,2014,HOUSE_EXPD,HK$,151,
S4,Alcoholic drinks and tobacco,1,Public housing,Y,2014,HOUSE_EXPD,HK$,177,
S4,Alcoholic drinks and tobacco,2,Subsidised housing,Y,2014,HOUSE_EXPD,HK$,131,
S4,Alcoholic drinks and tobacco,3,Private housing,Y,2014,HOUSE_EXPD,HK$,143,
S5,Clothing and footwear,,Total,Y,2014,HOUSE_EXPD,HK$,955,
S5,Clothing and footwear,1,Public housing,Y,2014,HOUSE_EXPD,HK$,529,
S5,Clothing and footwear,2,Subsidised housing,Y,2014,HOUSE_EXPD,HK$,873,
S5,Clothing and footwear,3,Private housing,Y,2014,HOUSE_EXPD,HK$,1237,
S6,Durable goods,,Total,Y,2014,HOUSE_EXPD,HK$,892,
