GROUP,GROUPDesc,freq,period,sv,svDesc,figure,sd_value
S6,Durable goods,Y,2015,CC_CM_1920,Index,116.2,
S7,Miscellaneous goods,Y,2015,CC_CM_1920,Index,91.6,
S8,Transport,Y,2015,CC_CM_1920,Index,93.2,
S9,Miscellaneous services,Y,2015,CC_CM_1920,Index,92.4,
,Total,Y,2016,CC_CM_1920,Index,93.2,
S1,Food,Y,2016,CC_CM_1920,Index,87.7,
S2,Housing,Y,2016,CC_CM_1920,Index,92.7,
S3,"Electricity, gas and water",Y,2016,CC_CM_1920,Index,118.5,
S4,Alcoholic drinks and tobacco,Y,2016,CC_CM_1920,Index,96.7,
S5,Clothing and footwear,Y,2016,CC_CM_1920,Index,104.6,
S6,Durable goods,Y,2016,CC_CM_1920,Index,110.0,
S7,Miscellaneous goods,Y,2016,CC_CM_1920,Index,93.0,
S8,Transport,Y,2016,CC_CM_1920,Index,94.7,
S9,Miscellaneous services,Y,2016,CC_CM_1920,Index,94.5,
,Total,Y,2017,CC_CM_1920,Index,94.6,
S1,Food,Y,2017,CC_CM_1920,Index,89.6,
S2,Housing,Y,2017,CC_CM_1920,Index,94.5,
S3,"Electricity, gas and water",Y,2017,CC_CM_1920,Index,116.5,
S4,Alcoholic drinks and tobacco,Y,2017,CC_CM_1920,Index,97.2,
S5,Clothing and footwear,Y,2017,CC_CM_1920,Index,104.2,
S6,Durable goods,Y,2017,CC_CM_1920,Index,106.5,
S7,Miscellaneous goods,Y,2017,CC_CM_1920,Index,94.2,
S8,Transport,Y,2017,CC_CM_1920,Index,96.8,
S9,Miscellaneous services,Y,2017,CC_CM_1920,Index,95.4,
,Total,Y,2018,CC_CM_1920,Index,96.8,
S1,Food,Y,2018,CC_CM_1920,Index,92.7,
S2,Housing,Y,2018,CC_CM_1920,Index,96.9,
S3,"Electricity, gas and water",Y,2018,CC_CM_1920,Index,122.2,
S4,Alcoholic drinks and tobacco,Y,2018,CC_CM_1920,Index,98.5,
S5,Clothing and footwear,Y,2018,CC_CM_1920,Index,105.9,
S6,Durable goods,Y,2018,CC_CM_1920,Index,104.3,
S7,Miscellaneous goods,Y,2018,CC_CM_1920,Index,95.5,
S8,Transport,Y,2018,CC_CM_1920,Index,98.4,
S9,Miscellaneous services,Y,2018,CC_CM_1920,Index,97.3,
,Total,Y,2019,CC_CM_1920,Index,99.6,
S1,Food,Y,2019,CC_CM_1920,Index,97.1,
S2,Housing,Y,2019,CC_CM_1920,Index,100.2,
S3,"Electricity, gas and water",Y,2019,CC_CM_1920,Index,116.4,
S4,Alcoholic drinks and tobacco,Y,2019,CC_CM_1920,Index,99.7,
S5,Clothing and footwear,Y,2019,CC_CM_1920,Index,103.9,
S6,Durable goods,Y,2019,CC_CM_1920,Index,102.1,
S7,Miscellaneous goods,Y,2019,CC_CM_1920,Index,96.9,
S8,Transport,Y,2019,CC_CM_1920,Index,100.4,
S9,Miscellaneous services,Y,2019,CC_CM_1920,Index,99.3,
,Total,Y,2020,CC_CM_1920,Index,99.9,
S1,Food,Y,2020,CC_CM_1920,Index,100.4,
S2,Housing,Y,2020,CC_CM_1920,Index,100.1,
S3,"Electricity, gas and water",Y,2020,CC_CM_1920,Index,91.6,
S4,Alcoholic drinks and tobacco,Y,2020,CC_CM_1920,Index,100.2,
S5,Clothing and footwear,Y,2020,CC_CM_1920,Index,98.6,
S6,Durable goods,Y,2020,CC_CM_1920,Index,99.6,
S7,Miscellaneous goods,Y,2020,CC_CM_1920,Index,100.8,
S8,Transport,Y,2020,CC_CM_1920,Index,99.3,
S9,Miscellaneous services,Y,2020,CC_CM_1920,Index,100.1,
,Total,Y,2021,CC_CM_1920,Index,101.4,
S1,Food,Y,2021,CC_CM_1920,Index,102.0,
S2,Housing,Y,2021,CC_CM_1920,Index,100.4,
S3,"Electricity, gas and water",Y,2021,CC_CM_1920,Index,116.4,
S4,Alcoholic drinks and tobacco,Y,2021,CC_CM_1920,Index,100.3,
S5,Clothing and footwear,Y,2021,CC_CM_1920,Index,101.9,
S6,Durable goods,Y,2021,CC_CM_1920,Index,100.6,
S7,Miscellaneous goods,Y,2021,CC_CM_1920,Index,97.7,
S8,Transport,Y,2021,CC_CM_1920,Index,101.9,
S9,Miscellaneous services,Y,2021,CC_CM_1920,Index,100.8,
