"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.6185648976347","57.2844773497302","94.1422998807183","93.3925341538637","94.2875430265998","106.127648081352","100.31109338046","103.258469022865","99.8579643162063","96.0446664618749","102.16608846971","98.412469741728","93.7004709895993","87.6117561110514","86.7635992099145","79.4241147624022","76.0093988765411","75.3569081779049","75.2921814740741","84.5473956209649","86.2568860489011","88.0051052085027","85.8798294276954","86.7885052856041","85.5471855421903","77.9158468542082","76.3036579586322","80.0299930273975","79.8008893150567","83.3487006553766","75.3356094610743","71.2973944909977","66.8051744211993","66.3615571271776","68.3177492042338","",
"American Samoa","ASM","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.9375","63.3587786259542","70.1375245579568","73.4","76.0649087221095","74.1312741312741","72.6785714285714","58.962962962963","69.9825479930192","72.1052631578947","65.625","69.9059561128527","72.0062208398134","68.3506686478455","69.0014903129657","76.9607843137255","76.2128325508607","78.6707882534776","73.9251040221914","80.2666666666667","71.2973593570609","","","",
"Antigua and Barbuda","ATG","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","57.7138049161608","58.0307937049031","59.0929501571621","58.3843837607725","57.3912226294521","57.0069315882378","57.7664933043941","56.0412916498292","56.8044303148395","55.1338333028474","54.1531385281385","54.5112781954887","54.6544729114832","54.4937064058366","53.5726693688477","55.9420371097035","55.8508152922712","56.7595341402147","57.8967378906547","56.716530864509","55.9801194317718","56.0784108113068","56.1411577662323","59.1318375437561","56.8610037346745","54.9674070241362","55.9441496489253","56.4040946584587","54.9840920140064","54.0827699541975","54.741499502765","56.7399385420323","58.4644057800059","57.7826583462216","57.2317595648061","57.392181619375","57.1457963294683","56.6669596239146","57.0450298431351","57.6393002599062","57.4412925947852","58.0591000671592","57.3098319222368","57.8094932649134","57.3867870789431","56.9427033325062","56.1158443597331","56.0488187590738","55.9493942843996","54.072136640024","55.4534582038967","53.9891774131206","53.7188441581987","54.7818966935671","55.0003517363011","56.2475663590647","57.1634560792482","55.7430102573082","55.4512909906221","54.2902078319954","52.4647487237344","50.9514242550178","49.0537472260283","50.524153351186","51.4329157377263","",
"Austria","AUT","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","55.3938165836718","55.5922654268481","54.9507661192359","54.4541098725718","54.2096842908213","56.927303398983","57.4026544883698","58.2865649176203","56.3934375410967","56.0342932687769","56.725989815223","57.7328650751076","57.9188896115022","59.1513789239408","58.0449904077148","57.9548469501558","57.14869528196","57.0363735526043","56.5238961010584","56.201369459308","56.1372165290464","55.636932755043","56.3345454073976","56.2570111370008","55.9221342479867","55.1545223617333","55.8134739527592","55.0379250609079","54.6022329086063","53.8393682178094","54.1709455037966","54.3952563562179","53.9317389670146","54.3931776523442","54.2664724445086","54.1765038530077","53.5936123405458","52.3419326113409","52.1654619573721","53.8122156383773","53.8377941652669","53.7195240977178","53.8082812056158","54.1170506988398","53.8869810416074","53.019440806769","52.5472663085775","52.804631487086","52.2101130103127","51.7439163348153","49.8490947884151","49.6708706686341","50.9601998331104","51.6954048081208","","",
"Azerbaijan","AZE","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.5920873124147","50.7672155688623","63.838924503641","65.6917197452229","77.5742727515346","84.3471740556753","87.682061040767","74.4672766994902","80.0034877637621","75.7754761463273","64.4115215870795","61.4963503649635","62.9014432989691","59.9622192681732","55.8122904503998","42.1209822319824","37.1029862052043","33.4013857301529","33.4355660085905","42.7566254230861","39.362533851407","37.2585538189778","39.4710258897371","41.9029940531436","45.4376157562345","56.6901434350864","58.7084527647405","57.5863902482022","54.1406132947111","57.5066975024482","60.8858595085846","52.3633308727597","43.3627149411783","53.9848645803892","55.4356206020406","",
"Burundi","BDI","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","91.9642955083824","92.2413790045864","92.6229510269897","96.2406023307463","87.2483164027362","89.4746257976027","88.3493133652013","86.9681430677521","87.0817217716781","85.8613230787719","86.629847780744","87.543674882592","87.2352445428193","85.4219444798009","89.1454421743688","91.6000808380615","85.1309352666798","77.3484015244063","80.6872868502175","80.7943803807471","91.3792020334544","86.8185456038122","91.5790097598421","84.5600945776789","85.858289258786","88.0670898689396","89.108812253555","83.6892167606077","87.6209217972678","86.5505425957464","94.5491494651276","93.4096014120001","90.8518833000564","85.7474818532052","93.8219414802788","88.9382167669691","81.7308757506651","81.7339556592765","87.5274862568716","84.3434343434343","92.2779472642574","90.6043089061308","93.6205740009007","89.2833587185961","88.096258182269","90.3963934437084","94.08702954424","91.0135486504852","92.5910150962332","84.2068660186423","81.0396206068898","86.1545423979367","84.8913007540901","89.0800758242822","85.4985799507105","83.2929066301604","78.3460249250086","73.3906944752809","71.3296665392926","69.3656132883101","61.4712383424315","60.5422670613969","61.2214386910931","58.1991034627493","","",
"Belgium","BEL","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","51.1358988929178","51.5692537633537","51.5309687413514","51.9212320139789","51.3106513676788","52.5827778293171","52.4103640199996","53.2938284686754","53.0402559927922","54.1754286950043","54.7107682879993","56.2812533362594","57.0837307866563","57.6041262474897","56.5060416726991","57.2706006094366","56.414327854351","56.086566126389","54.7911779983393","54.1957849707285","54.177396144149","54.7753984130007","54.133773040315","53.6579427925736","53.3117100400584","53.0600871969142","53.4788608366999","52.6640383933173","52.9168554550308","52.0728198372647","52.3121863010792","52.4054901566157","51.536270580068","51.1934557656787","50.2415776311343","50.1883319958611","50.0481775418536","49.6456685007722","50.7242928148413","51.1863778987959","51.4235948226308","51.1646346067833","51.708082979902","52.2303564247093","51.5609878844316","51.4826802843543","51.4852598951005","51.6628507611063","51.8410774686295","51.2398400733849","49.0505786619498","48.9732973524999","50.0386507184722","49.8526253439918","","",
"Benin","BEN","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","84.4125407219683","84.112412932068","85.337940679158","86.555831713014","88.7539065090735","90.0123505720829","92.3438433287988","91.0693897212631","88.3731637493978","88.0666902969428","87.9538998386204","89.7139680289482","88.9085121396774","87.249580782004","88.3330587268469","90.3314275006904","92.7923358853934","92.5425733262087","93.6403894641432","92.4582452663711","97.7064131651206","103.193544235267","84.2211696743441","86.0692978194764","84.942794057667","88.6877588447201","87.2168546181715","87.2097318188564","89.4559725132854","88.4080397834386","75.7277464883007","78.6800851289798","80.8885950919849","79.1402440049578","74.3112522724454","73.194840918339","72.4569048146858","72.601530729685","74.1370755524484","81.9997069461123","82.0485295884758","82.6838935240824","81.6951614701456","80.335026361846","78.8478105083225","81.0515319486747","81.1186445656906","79.0827306084785","79.5199078099479","78.6923598038608","78.4667993617681","78.0316170263095","76.5386564839949","74.1549571965266","72.9688067811163","75.1721642689075","73.2204938310377","72.6260008793287","70.449714833238","68.4484141092153","68.0550868669615","67.290665629425","61.544981344143","60.6205330585091","58.8826875686133","",
"Burkina Faso","BFA","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","88.1382008908991","87.0986618882172","86.9595886520168","86.9458611977918","85.306989169874","86.2378544749403","87.3559572670691","90.0034685207192","87.8801694405609","88.2623059521094","86.4527686537025","85.057872206756","82.7636616020181","80.0360437748845","74.0287227322999","78.3748136419892","77.5472015464663","84.842439005262","83.9906321313468","85.9390144899792","90.2120194898688","91.0508018769905","83.5092275915935","82.0134250640439","82.5022129457783","80.8488945289616","80.8516752200479","77.5600806263329","77.323426798722","74.3487923376357","73.5188766999483","69.964427216188","69.6450965881789","70.9223869999249","57.5948976503618","63.3423313010006","67.718782422456","64.6663155225776","68.8516605613475","89.1919391942859","88.7536194322106","85.3985062506213","85.5402551107463","82.8812309012628","83.963618481604","83.132053758901","81.9656897006577","78.1414382593744","79.6846075823808","77.5083850710677","71.5935788138145","68.6961148797298","69.1348624816742","71.5163791030436","70.2225263802843","71.5231102662912","68.7585986446242","66.5628491891213","64.2792990456353","61.6354911396221","60.2403896799966","61.0703297253031","66.0416449235651","63.9589418553944","62.0520801868107","",
